Progress,Duration (in seconds),Finished,TA_ID,S1,S2,S3,S4,S5,S6,S7,Eng,I1,I2,I3,I4,I5,I6,I7,inst,C1,C2,C3,C4,C5,course,St_Year,St_Gender,Gender_3_TEXT,St_Race,Race_9_TEXT,Race_7_TEXT,Int'l,first_gen
100,215,1,69,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,1,,,0,2
100,290,1,17,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,,1,,,0,1
100,246,1,50,4,4,5,5,5,5,4,4.571428571,4,4,5,5,4,5,5,4.571428571,5,3,5,4,5,4.4,1,0,,1,,,0,1
100,474,1,44,4,4,6,6,6,5,5,5.142857143,5,5,5,5,5,5,5,5,6,6,6,6,6,6,1,0,,2,,,0,2
100,165,1,86,5,6,6,6,6,6,6,5.857142857,6,6,6,6,1,6,6,5.285714286,6,6,6,6,6,6,2,0,,2,,,0,1
100,276,1,44,5,5,5,6,6,5,5,5.285714286,6,5,5,5,,6,6,5.5,6,6,6,6,6,6,1,0,,2,,,0,2
100,220,1,80,5,5,5,6,6,6,6,5.571428571,6,6,6,6,5,5,6,5.714285714,6,6,6,6,6,6,4,0,,2,,,0,1
100,189,1,43,4,6,6,6,6,6,6,5.714285714,6,5,5,6,6,6,6,5.714285714,6,6,6,6,6,6,1,0,,2,,,0,2
100,137,1,79,6,6,6,6,6,6,6,6,6,6,6,6,5,5,6,5.714285714,6,6,6,6,6,6,3,0,,2,,,0,1
100,141,1,37,5,3,5,5,5,5,5,4.714285714,5,6,6,6,5,6,6,5.714285714,6,6,6,6,6,6,1,0,,2,,,0,2
100,240,1,12,6,6,6,6,6,6,6,6,6,6,5,6,6,5,6,5.714285714,6,6,6,6,6,6,1,0,,2,,,0,2
100,359,1,49,5,5,6,6,5,5,6,5.428571429,6,6,5,6,,6,6,5.833333333,6,6,6,6,6,6,1,0,,2,,,0,2
100,101001,1,43,6,5,6,6,6,6,6,5.857142857,6,6,6,6,5,6,6,5.857142857,6,6,6,6,6,6,1,0,,2,,,0,2
100,161,1,52,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,271,1,69,5,6,6,6,6,6,6,5.857142857,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,318,1,42,5,6,6,6,6,6,6,5.857142857,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,188,1,49,6,6,6,6,6,6,6,6,6,6,6,6,,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,115,1,44,5,5,6,6,6,6,5,5.571428571,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,80,1,6,5,5,5,6,6,6,6,5.571428571,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,0,,2,,,0,2
100,255,1,14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,,2,,,0,2
100,104,1,28,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,0,,2,,,0,1
100,333,1,66,5,5,5,5,5,6,6,5.285714286,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,0,,2,,,1,2
100,153,1,79,5,4,4,4,5,5,5,4.571428571,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,,2,,,0,2
100,430,1,79,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,0,,2,,,0,2
100,165,1,36,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,534,1,55,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,109,1,31,6,5,6,6,6,6,6,5.857142857,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,0,,2,,,0,1
100,140,1,31,6,4,6,6,6,5,6,5.571428571,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,,2,,,0,2
100,94,1,31,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,,2,,,0,2
100,195,1,56,4,5,5,6,6,6,6,5.428571429,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,167,1,15,6,5,6,6,6,6,6,5.857142857,6,6,6,6,6,6,6,6,6,6,6,6,6,6,3,0,,2,,,0,1
100,367,1,56,2,6,5,5,6,6,6,5.142857143,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,1
100,261,1,53,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,191,1,29,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,,2,,,0,1
100,238,1,1,4,5,6,6,6,6,6,5.571428571,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,258,1,86,6,5,6,6,4,6,5,5.428571429,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,230,1,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,2
100,950,1,11,4,4,5,5,4,5,5,4.571428571,6,6,6,6,,6,6,6,6,6,6,6,6,6,1,0,,2,,,0,1
100,193,1,36,5,5,4,6,2,6,6,4.857142857,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,,2,,,0,2
100,319,1,42,5,6,4,5,4,6,5,5,5,5,5,5,,5,5,5,6,6,6,6,5,5.8,2,0,,2,,,0,1
100,467,1,10,5,6,5,5,6,6,6,5.571428571,6,5,6,5,6,5,6,5.571428571,6,6,6,6,5,5.8,2,0,,2,,,0,2
100,230,1,58,6,6,5,5,5,6,6,5.571428571,6,5,6,6,,6,6,5.833333333,6,6,6,5,6,5.8,1,0,,2,,,0,2
100,520,1,79,6,4,5,5,5,4,6,5,6,5,6,6,6,6,6,5.857142857,6,6,5,6,6,5.8,5,0,,2,,,1,2
100,200,1,53,5,5,5,6,6,5,5,5.285714286,6,6,6,5,6,6,6,5.857142857,6,6,5,6,6,5.8,1,0,,2,,,0,2
100,635,1,71,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5.857142857,6,6,5,6,6,5.8,1,0,,2,,,0,2
100,294,1,43,4,4,5,5,5,6,6,5,6,6,6,6,6,6,6,6,6,6,5,6,6,5.8,1,0,,2,,,0,2
100,262,1,8,5,5,5,5,6,6,6,5.428571429,6,6,6,6,6,6,6,6,6,6,6,6,5,5.8,2,0,,2,,,0,1
100,359,1,81,6,5,6,6,5,6,6,5.714285714,6,6,6,6,6,6,6,6,5,6,6,6,6,5.8,1,0,,2,,,0,1
100,306,1,9,5,5,4,6,5,6,6,5.285714286,6,6,6,6,6,6,6,6,6,6,5,6,6,5.8,1,0,,2,,,0,2
100,173,1,22,5,5,6,6,6,6,6,5.714285714,6,6,6,6,6,6,6,6,6,6,6,6,5,5.8,1,0,,2,,,0,2
100,666,1,63,5,6,5,6,5,5,6,5.428571429,6,6,6,6,6,6,6,6,5,6,6,6,6,5.8,2,0,,2,,,0,2
100,226255,1,63,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,5.8,2,0,,2,,,0,
100,122,1,53,3,5,5,5,5,5,5,4.714285714,6,6,6,6,6,6,6,6,6,6,6,6,5,5.8,1,0,,2,,,0,2
100,219,1,21,6,5,5,5,5,6,6,5.428571429,6,6,6,6,5,6,6,5.857142857,6,6,5,6,,5.75,1,0,,2,,,0,2
100,406,1,43,4,5,6,6,6,5,2,4.857142857,6,5,5,6,5,6,6,5.571428571,6,6,5,5,6,5.6,1,0,,2,,,0,2
100,182,1,57,6,5,5,5,6,6,5,5.428571429,6,6,5,6,5,6,6,5.714285714,5,6,6,5,6,5.6,5,0,,2,,,1,1
100,395,1,7,5,6,5,5,5,6,6,5.428571429,6,6,6,6,,5,6,5.833333333,6,6,5,6,5,5.6,1,0,,2,,,0,2
100,381,1,42,4,5,5,6,6,5,6,5.285714286,6,6,6,6,5,6,6,5.857142857,6,5,5,6,6,5.6,1,0,,2,,,0,2
100,184,1,17,5,4,5,6,5,5,6,5.142857143,6,6,6,6,6,5,6,5.857142857,6,6,5,5,6,5.6,3,0,,2,,,1,2
100,265,1,22,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5.857142857,6,6,6,5,5,5.6,1,0,,2,,,0,2
100,240,1,40,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,5.857142857,5,6,5,6,6,5.6,3,0,,2,,,0,1
100,168,1,86,6,5,6,6,6,6,5,5.714285714,6,6,6,5,6,6,6,5.857142857,6,6,6,5,5,5.6,1,0,,2,,,0,2
100,448,1,42,4,4,2,5,6,4,5,4.285714286,6,6,6,6,6,6,6,6,5,6,5,6,6,5.6,2,0,,2,,,1,2
100,336,1,21,5,6,5,5,4,3,6,4.857142857,6,6,6,6,,6,6,6,6,6,4,6,6,5.6,1,0,,2,,,0,2
100,643,1,79,5,6,5,5,4,5,6,5.142857143,6,5,5,5,5,5,6,5.285714286,5,6,5,5,6,5.4,4,0,,2,,,0,2
100,183,1,77,4,3,5,5,3,4,6,4.285714286,6,5,5,6,5,5,6,5.428571429,5,6,5,5,6,5.4,3,0,,2,,,1,2
100,177,1,56,5,5,5,5,6,5,4,5,5,5,5,6,6,5,6,5.428571429,6,4,5,6,6,5.4,1,0,,2,,,0,2
100,218,1,37,5,4,5,5,4,5,5,4.714285714,6,5,5,5,5,6,6,5.428571429,6,6,5,4,6,5.4,1,0,,2,,,0,2
100,189,1,58,5,5,5,4,3,6,6,4.857142857,6,6,5,5,5,6,6,5.571428571,4,6,5,6,6,5.4,1,0,,2,,,0,2
100,307,1,6,5,6,5,4,6,6,4,5.142857143,6,6,6,5,5,5,6,5.571428571,5,6,6,5,5,5.4,1,0,,2,,,0,2
100,245,1,67,5,6,5,5,6,5,6,5.428571429,6,5,6,6,5,6,5,5.571428571,5,5,5,6,6,5.4,1,0,,2,,,0,1
100,637,1,79,5,5,5,6,5,5,5,5.142857143,6,6,5,6,4,6,6,5.571428571,6,6,5,5,5,5.4,3,0,,2,,,0,2
100,281,1,50,5,5,5,4,4,6,6,5,6,6,5,6,6,5,5,5.571428571,6,6,5,5,5,5.4,2,0,,2,,,0,1
100,395,1,12,4,4,4,5,6,5,5,4.714285714,6,6,6,5,5,5,6,5.571428571,6,6,5,5,5,5.4,1,0,,2,,,0,2
100,372,1,30,4,5,5,6,,5,6,5.166666667,6,6,5,6,5,6,6,5.714285714,5,6,6,4,6,5.4,4,0,,2,,,0,2
100,397,1,11,5,6,6,5,5,6,6,5.571428571,6,6,6,6,5,5,6,5.714285714,6,5,5,5,6,5.4,1,0,,2,,,0,2
100,180,1,10,5,6,5,6,5,6,5,5.428571429,6,6,6,6,6,5,6,5.857142857,6,6,5,5,5,5.4,1,0,,2,,,1,2
100,122,1,36,5,5,5,5,5,6,6,5.285714286,6,6,6,6,,,6,6,6,6,5,5,5,5.4,3,0,,2,,,0,2
100,228,1,36,5,6,5,5,5,6,6,5.428571429,6,6,6,6,6,6,6,6,6,6,5,5,5,5.4,4,0,,2,,,0,2
100,2099,1,31,5,4,6,6,5,6,6,5.428571429,6,6,6,6,6,6,6,6,6,6,5,5,5,5.4,1,0,,2,,,0,2
100,151,1,29,5,6,6,6,6,6,6,5.857142857,6,6,6,6,6,6,6,6,6,3,6,6,6,5.4,2,0,,2,,,0,2
100,318,1,12,5,5,5,6,6,5,6,5.428571429,6,6,6,6,6,6,6,6,5,6,6,5,5,5.4,1,0,,2,,,1,2
100,226,1,65,,4,5,6,5,5,4,4.833333333,6,5,5,5,5,5,6,5.285714286,5,6,5,5,,5.25,1,0,,2,,,0,2
100,191,1,12,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,4.714285714,5,6,5,5,5,5.2,1,0,,2,,,0,2
100,352,1,81,5,4,5,6,6,3,5,4.857142857,5,4,5,4,6,6,4,4.857142857,5,5,6,6,4,5.2,2,0,,2,,,0,2
100,247,1,81,5,5,5,6,5,4,5,5,6,5,5,5,4,5,5,5,5,5,5,5,6,5.2,2,0,,2,,,0,1
100,207,1,55,5,6,5,6,6,6,6,5.714285714,6,5,5,5,4,4,6,5,5,4,6,5,6,5.2,1,0,,2,,,0,2
