StartDate,EndDate,Progress,Duration (in seconds),Finished,Name,Why_TAF,STEM,highest_ed,current_ed,semesters,teaching_e,primary_ro,teaching_s,ped_exp,t_f_a,t_v_m,t_w_s,IS_1,IS_2,IS_3,IS_4,IS_5,IS_6,IS_7,IS_8,LE_1,LE_2,LE_3,LE_4,LE_5,LE_6,LE_7,Gender,Gender_3_TEXT,Age,Race,Race_9_TEXT,Int'l,opt_in,set_expectations1,wing_it1,invite_input1,provide_rationale1,shame1,insist_firmly1,wing_it2,overview1,invite_input2,communicate_trust1,shame2,foster_enjoyment1,exert_power1,helpful_strategy1,offer_choice1,lax1,push_compliance1,set_expectations2,indifference1,invite_input3,exert_power2,overview2,wing_it3,insist_firmly2,foster_enjoyment2,invite_input4,helpful_strategy2,shame3,indifference2,shame4,adjust1,identify_benefits1,indifference3,insist_firmly3,overview3,command1,invite_input5,follow_pace1,overview4,lax2,ignore1,insist_firmly4,adjust2,ignore2,invite_input6,ignore3,shame5,adjust3,interest_taking1,overview5,lax3,wing_it4,offer_choice2,indifference4,offer_help1,shame6
8/25/20 20:15,8/25/20 20:32,100,1021,1,24,I would like to learn how to be the best teacher I can be for my students. I want them to come away having learned about chemistry and having enjoyed my course. I would like to learn how to be as approachable as possible and how to best motivate my students. ,Y,1,3,0,1,"I was an undergraduate TA for general chemistry 2 lab at my undergraduate institution. I led a lab section for two summer sessions (equivalent of 2 semesters in ~8 weeks). I was in charge of leading the lab, giving a pre-lab lecture, making sure everyone was safe, grading assignments, and grading exams for a lecture course. My lab supervisor was always there for help if I needed it (she went in between different labs). I met with her and other TAs weekly and we put together the pre-lab lectures and course policies. I also proctored for the final exam for the lab and lecture course. ",2,2,4,4,2,3,2,3,3,3,3,2,2,2,2,2,2,2,2,3,1,,1998,5,,0,4,6,4,1,7,2,1,1,7,5,6,1,4,1,4,4,3,1,7,7,2,1,7,1,1,1,1,7,1,3,1,7,7,3,1,7,1,4,6,7,7,1,1,4,1,6,1,1,3,7,7,1,4,1,1,7,1
8/25/20 16:50,8/25/20 21:32,100,16895,1,26,"I'm taking Teaching Assistant Fundamentals because I want to be best prepared to teach my students, and this course offers a free and no-time-expensive way to do that.",Y,1,3,2,2,,,2,4,5,3,3,2,3,4,3,2,4,4,1,4,3,3,4,3,3,0,,1995,5,,0,4,5,2,3,6,1,1,4,5,5,6,1,4,1,7,4,1,1,3,2,1,1,2,5,1,7,7,6,1,1,1,7,7,4,1,3,1,6,7,4,4,1,1,1,1,3,3,5,7,7,5,1,3,7,1,7,1
8/26/20 10:07,8/26/20 10:17,100,623,1,1,I hope to gain a better understanding of how to engage my students in exciting and meaningful lessons. I want them to feel empowered and free to ask questions in an open learning environment. ,N,1,2,4,1,I taught English in a fellowship program in Colombia for 5 months. ,1,2,4,5,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,,1989,5,,0,4,6,4,4,6,1,3,3,6,6,7,3,6,1,6,6,3,1,3,1,6,2,5,3,3,6,6,5,1,3,1,6,7,2,1,6,1,4,5,3,4,1,1,5,1,5,1,1,6,6,6,3,4,3,2,7,1
8/26/20 16:35,8/26/20 16:54,100,1122,1,34,"I wanted to participate in Teaching Assistant Fundamentals to learn specifics about being a TA and how I can improve that. In addition, I want to learn how I can engage with the students, especially during this time where we have to manage it over zoom. ",N,2,3,0,2,,,2,4,3,4,3,2,2,3,2,3,2,2,2,3,3,2,3,3,2,1,,1990,6,,1,4,6,3,5,6,2,4,2,6,6,5,6,5,2,5,4,2,3,6,3,5,3,5,4,4,5,5,5,3,2,2,5,5,3,3,5,2,5,5,6,3,4,3,4,2,4,2,4,5,5,4,3,4,4,2,6,1
8/26/20 16:47,8/26/20 16:57,100,606,1,36,"I don't have any experience in teaching, so I'm looking for both introduction to pedagogical approaches and techniques, as well as a community for problem-solving and resource-sharing.",N,1,2,0,2,,,2,4,4,4,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,,1994,5,,0,4,4,5,3,3,1,3,1,6,4,3,3,5,1,6,3,1,1,4,1,3,1,4,1,2,4,2,5,1,2,1,6,1,1,1,4,1,4,7,6,4,1,1,4,1,6,1,1,7,6,6,1,1,5,1,7,1
8/26/20 22:00,8/26/20 22:22,100,1317,1,78,"This semester is my first time teaching. Especially now that all classes are online, I am nervous about leading a discussion section. I hope that this course will help me develop my skills and give me a community of other TAs to share ideas and issues. ",N,1,3,0,2,,,2,4,5,4,4,4,3,2,3,3,4,4,4,4,2,3,3,3,3,1,,1997,5,,0,4,5,2,6,5,2,2,2,5,5,5,2,5,1,5,4,2,2,5,2,4,1,5,2,2,4,5,5,2,2,1,5,5,1,2,5,1,5,5,5,2,4,2,5,2,5,3,1,5,4,5,2,3,4,2,5,1
8/27/20 8:05,8/27/20 8:32,100,1622,1,79,"I want to hone my teaching skills and discover my style as efficiently as possible, and participating in this course will hold me accountable to do the work necessary to improve my teaching.",N,2,3,0,2,,,1,4,4,4,3,2,3,2,2,4,3,3,3,3,3,3,3,3,2,0,,1990,5,,0,4,5,2,4,5,2,2,3,4,6,4,5,4,2,3,4,3,3,5,3,3,2,5,2,1,5,5,4,2,1,1,4,5,2,2,5,1,5,5,2,3,3,3,4,2,4,3,1,5,6,5,3,2,4,1,6,2
8/27/20 8:31,8/27/20 8:50,100,1167,1,32,I'm new to teaching and I hope this course will help me move a bit more quickly through that beginner stage.,N,1,2,0,2,,,2,3,1,2,3,4,2,3,2,4,3,3,3,4,4,3,3,3,3,1,,1980,8,,0,4,5,3,5,2,5,3,4,6,3,5,3,4,3,4,4,4,2,6,4,4,2,5,3,2,5,6,4,2,4,2,4,5,2,2,6,1,6,6,4,3,2,3,4,2,5,2,1,6,6,4,2,2,4,1,7,1
8/27/20 13:01,8/27/20 13:23,100,1321,1,35,This is my first time TA-ing and I want to do well for my students. I've never had the opportunity to teach before but I understand the importance of effective and engaging communication for education excellence. I want to start building my teaching skills.,N,2,3,9,2,,,2,2,2,2,3,2,2,1,2,3,2,3,2,2,3,3,3,2,3,1,,1992,8,,0,4,5,2,1,2,1,3,2,6,6,5,1,5,1,5,4,2,2,7,1,1,3,4,1,2,4,4,6,1,1,1,5,4,2,1,5,1,4,7,5,5,1,4,5,1,4,2,1,6,6,7,2,2,4,2,7,1
8/27/20 15:19,8/27/20 15:36,100,997,1,66,"To build my confidence in being in charge of a class, and generally being the main position of information or education within a classroom which is a completely new experience for me.",Y,2,3,0,2,,,2,4,3,3,3,3,1,3,2,3,3,2,3,3,3,2,2,2,3,0,,1998,5,,1,4,5,3,3,6,2,2,3,5,4,6,2,3,4,6,5,2,1,4,2,4,2,5,4,2,3,3,5,3,2,1,6,5,3,2,4,1,5,6,4,2,2,3,5,3,4,2,1,6,6,5,1,2,3,3,5,3
8/27/20 20:05,8/27/20 20:18,100,739,1,31,"I intend to engage in lifelong learning and part of that, for me, is teaching. As such, I want to develop my teaching skills to the greats possible extent so I can more easily help and learn from my students. I also intend to become a professor so I want to have teaching expertise instead of just being a research who stands in front of a class from time-to-time; this class will start me on that path.",N,1,2,0,2,,,2,3,3,4,4,2,2,3,3,4,3,3,4,3,4,3,3,2,4,0,,1997,3,,0,4,6,2,5,5,2,4,2,4,4,4,2,6,1,3,2,2,1,7,4,3,5,4,1,1,5,3,7,4,1,1,7,7,1,3,5,1,5,7,4,4,1,1,6,1,5,3,1,7,7,7,1,4,2,1,7,1
